Metric,Source,Unintegrated,Harmony,Scanorama,scGen,scVI,scanVI
ARI,source_10,0.495239083995795,0.299529553281578,0.276063384141258,0.247832251703396,0.133364535096471,0.247774346459173
ARI,source_11,0.268461191763248,0.384099300506705,0.122886453614362,0.381024181554156,0.0759936823554177,0.233704029640599
ARI,source_13,0.157116242027843,0.164448578360617,0.149882062200301,0.311340988190898,0.073559070145269,0.173431936531023
ARI,source_2,0.670659720083227,0.575229178159266,0.514701516677063,0.374637745319043,0.126769748115584,0.280151847992373
ARI,source_3,0.596817012079092,0.804809711653654,0.600423417286533,0.35044676676991,0.105252287368251,0.409841988948444
ARI,source_4,0.55068795892494,0.484455282363188,0.468323585417433,0.320315162899582,0.0863341228553915,0.211044501508443
ARI,source_5,0.758170642210752,0.75503305581082,0.753334747650062,0.327234717335918,0.157121612177056,0.365943861382495
ARI,source_6,0.758328093583976,0.758312577222912,0.664265870130306,0.295886369534371,0.104880555491493,0.352687466132012
ARI,source_7,0.534212343249089,0.408870839818819,0.566772523038903,0.22448989706218,0.108192687811227,0.238455113841193
ARI,source_8,0.481024382254075,0.521521746738297,0.22508379607604,0.268717194854526,0.0788262123763988,0.225990727832632
ARI,source_9,0.093548534833413,0.0920983411674614,0.283599513458221,0.0534991089307209,0.0437753521115913,0.0629838543899843
Batch_ASW,source_10,0.378399409824245,0.45469142534256,0.441775725323201,0.360332483677674,0.495904958013068,0.589160250161348
Batch_ASW,source_11,0.474994926172405,0.523406649494622,0.551553082092204,0.521006499618937,0.596190300007999,0.62229472771489
Batch_ASW,source_13,0.461407129252457,0.571613847691339,0.546041564135827,0.573782239629848,0.642510226502533,0.683800650900775
Batch_ASW,source_2,0.276124122777767,0.374964078849766,0.356191184810302,0.269461273392348,0.479582289071102,0.591827676176157
Batch_ASW,source_3,0.384524879148737,0.451900764649334,0.430291512175388,0.479326584129715,0.671862976061719,0.657668738413036
Batch_ASW,source_4,0.463836236463613,0.556255203956965,0.52858077895944,0.669700575278831,0.632819173340571,0.665665610441676
Batch_ASW,source_5,0.46475648164788,0.51750982971927,0.491344281716617,0.53465698174572,0.560523042464009,0.62233738762489
Batch_ASW,source_6,0.400028636620331,0.435497533631347,0.415635179219596,0.389234034237371,0.642880070175478,0.675289457118802
Batch_ASW,source_7,0.337560231765412,0.4356004833487,0.413160158525758,0.364440399462454,0.488979809138151,0.589135960223354
Batch_ASW,source_8,0.208746748631052,0.288452760806024,0.306358279147042,0.281726731845708,0.369293183652405,0.392606236308575
Batch_ASW,source_9,0.458049321998178,0.527735708194679,0.423340936398005,0.449545081478158,0.569579337541189,0.669740514057914
Graph_connectivity,source_10,0.181788079470199,0.198289183222958,0.201766004415011,0.189497102649007,0.179304635761589,0.260264900662252
Graph_connectivity,source_11,0.200764742983286,0.22536266162094,0.270064648375907,0.261155786818038,0.215783664459161,0.296199936928414
Graph_connectivity,source_13,0.182615894039735,0.194757174392936,0.182450331125828,0.297406181015453,0.199658105852582,0.255573951434879
Graph_connectivity,source_2,0.129869732470712,0.132859765693303,0.131863087952439,0.130201958384333,0.132310236389339,0.220261409337297
Graph_connectivity,source_3,0.11668805187638,0.144109409492274,0.139935154525386,0.147685568432671,0.138752069536424,0.368636865342163
Graph_connectivity,source_4,0.0992824141671939,0.0898861500085896,0.0891663490724499,0.250492010599049,0.092498414529111,0.275349459028638
Graph_connectivity,source_5,0.0691465111814953,0.0888799346446396,0.0758320136289471,0.156226848935838,0.0881495982399942,0.287483447457769
Graph_connectivity,source_6,0.108940706525436,0.118874481359873,0.1232894923974,0.134296102546979,0.128516754036286,0.277453144613254
Graph_connectivity,source_7,0.158230842005676,0.160596026490066,0.162554694891201,0.161778618732261,0.160108207190161,0.298478890728477
Graph_connectivity,source_8,0.252897350993377,0.259105960264901,0.26354252897351,0.258278145695364,0.253311258278146,0.297599337748344
Graph_connectivity,source_9,0.136089266004415,0.142934545161884,0.129768556843267,0.136735996136865,0.0948609386497425,0.152858259749816
Isolated_labels_ASW,source_10,0.344631724059582,0.402577806264162,0.426973497797435,0.264558374881744,0.279118590056896,0.377542480826378
Isolated_labels_ASW,source_11,0.19090873003006,0.240254282951355,0.417818688857365,0.231692135334015,0.337395220994949,0.450167756527662
Isolated_labels_ASW,source_13,0.346883741021156,0.339945207039515,0.399100256266663,0.334556933740775,0.274496630827586,0.297934251526992
Isolated_labels_ASW,source_2,0.328428789973259,0.38787517696619,0.447530103407553,0.358651101589203,0.125342786312103,0.28673467040062
Isolated_labels_ASW,source_3,0.463956136256456,0.454202156513929,0.467032200117792,0.401330970227718,0.439272105693817,0.321096062660217
Isolated_labels_ASW,source_4,0.427925303578377,0.363445281982422,0.475267764039075,0.362501829862595,0.370401084423065,0.348342448472977
Isolated_labels_ASW,source_5,0.368215724825859,0.404214806854725,0.467285810064572,0.417070675641298,0.34866676479578,0.34635254740715
Isolated_labels_ASW,source_6,0.261943653225899,0.282557368278503,0.471015417083114,0.3360585719347,0.390177242457867,0.420497089624405
