"primary_key","name","description","monoisotopic_mass","level_1","level_2","level_3","level_4","indication","pharmacodynamics","mechanism_of_action","toxicity","metabolism","absorption","half_life","protein_binding","route_of_elimination","volume_of_distribution"
"DB00140","Riboflavin","Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide.","376.138284392","Other plain vitamin preparations","OTHER PLAIN VITAMIN PREPARATIONS","VITAMINS","ALIMENTARY TRACT AND METABOLISM","For the treatment of ariboflavinosis (vitamin B2 deficiency).","Riboflavin or vitamin B2 is an easily absorbed, water-soluble micronutrient with a key role in maintaining human health. Like the other B vitamins, it supports energy production by aiding in the metabolising of fats, carbohydrates, and proteins. Vitamin B2 is also required for red blood cell formation and respiration, antibody production, and for regulating human growth and reproduction. It is essential for healthy skin, nails, hair growth and general good health, including regulating thyroid activity. Riboflavin also helps in the prevention or treatment of many types of eye disorders, including some cases of cataracts.","Binds to riboflavin hydrogenase, riboflavin kinase, and riboflavin synthase. Riboflavin is the precursor of flavin mononucleotide (FMN, riboflavin monophosphate) and flavin adenine dinucleotide (FAD). The antioxidant activity of riboflavin is principally derived from its role as a precursor of FAD and the role of this cofactor in the production of the antioxidant reduced glutathione. Reduced glutathione is the cofactor of the selenium-containing glutathione peroxidases among other things. The glutathione peroxidases are major antioxidant enzymes. Reduced glutathione is generated by the FAD-containing enzyme glutathione reductase.","","Hepatic.","Vitamin B2 is readily absorbed from the upper gastrointestinal tract.","66-84 minutes","60%","",""
"DB00140","Riboflavin","Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide.","376.138284392","Other ophthalmologicals","OTHER OPHTHALMOLOGICALS","OPHTHALMOLOGICALS","SENSORY ORGANS","For the treatment of ariboflavinosis (vitamin B2 deficiency).","Riboflavin or vitamin B2 is an easily absorbed, water-soluble micronutrient with a key role in maintaining human health. Like the other B vitamins, it supports energy production by aiding in the metabolising of fats, carbohydrates, and proteins. Vitamin B2 is also required for red blood cell formation and respiration, antibody production, and for regulating human growth and reproduction. It is essential for healthy skin, nails, hair growth and general good health, including regulating thyroid activity. Riboflavin also helps in the prevention or treatment of many types of eye disorders, including some cases of cataracts.","Binds to riboflavin hydrogenase, riboflavin kinase, and riboflavin synthase. Riboflavin is the precursor of flavin mononucleotide (FMN, riboflavin monophosphate) and flavin adenine dinucleotide (FAD). The antioxidant activity of riboflavin is principally derived from its role as a precursor of FAD and the role of this cofactor in the production of the antioxidant reduced glutathione. Reduced glutathione is the cofactor of the selenium-containing glutathione peroxidases among other things. The glutathione peroxidases are major antioxidant enzymes. Reduced glutathione is generated by the FAD-containing enzyme glutathione reductase.","","Hepatic.","Vitamin B2 is readily absorbed from the upper gastrointestinal tract.","66-84 minutes","60%","",""
"DB00218","Moxifloxacin","Moxifloxacin is a synthetic fluoroquinolone antibiotic agent. Bayer AG developed the drug (initially called BAY 12-8039) and it is marketed worldwide (as the hydrochloride) under the brand name Avelox (in some countries also Avalox) for oral treatment.","401.175084476","Fluoroquinolones","ANTIINFECTIVES","OPHTHALMOLOGICALS","SENSORY ORGANS","For the treatment of sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. Also for the treatment of bacterial conjunctivitis (pinkeye).","Moxifloxacin is a quinolone/fluoroquinolone antibiotic. Moxifloxacin can be used to treat infections caused by the following bacteria: Aerobic Gram-positive microorganisms: _Corynebacterium_ species, _Micrococcus luteus_, _Staphylococcus aureus_, _Staphylococcus epidermidis_, _Staphylococcus haemolyticus_, _Staphylococcus hominis_, _Staphylococcus warneri_, _Streptococcus pneumoniae_, and _Streptococcus viridans_ group. Aerobic Gram-negative microorganisms: _Acinetobacter lwoffii_, _Haemophilus influenzae_, and _Haemophilus parainfluenzae_. Other microorganisms: _Chlamydia trachomatis_. Moxifloxacin is bactericidal and its mode of action depends on blocking of bacterial DNA replication by binding itself to an enzyme called DNA gyrase, which allows the untwisting required to replicate one DNA double helix into two. Notably the drug has 100 times higher affinity for bacterial DNA gyrase than for mammalian. Moxifloxacin is a broad-spectrum antibiotic that is active against both Gram-positive and Gram-negative bacteria.","The bactericidal action of moxifloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV. DNA gyrase is an essential enzyme that is involved in the replication, transcription and repair of bacterial DNA. Topoisomerase IV is an enzyme known to play a key role in the partitioning of the chromosomal DNA during bacterial cell division.","Symptoms of overdose include CNS and gastrointestinal effects such as decreased activity, somnolence, tremor, convulsions, vomiting, and diarrhea. The minimal lethal intravenous dose in mice and rats is 100 mg/kg.","Approximately 52% or oral or intravenous dose is metabolized via glucuronide and sulphate conjugation. The cytochrome P450 system is not involved in metabolism. The sulphate conjugate accounts for 38% of the dose, and the glucuronide conjugate accounts for 14% of the dose.","Well absorbed from the gastrointestinal tract. Absolute oral bioavailability is approximately 90%. Food has little effect on absorption.","11.5-15.6 hours (single dose, oral)","50% bound to serum proteins, independent of drug concentration.","Approximately 45% of an oral or intravenous dose of moxifloxacin is excreted as unchanged drug (~20% in urine and ~25% in feces).","* 1.7 to 2.7 L/kg"
"DB00218","Moxifloxacin","Moxifloxacin is a synthetic fluoroquinolone antibiotic agent. Bayer AG developed the drug (initially called BAY 12-8039) and it is marketed worldwide (as the hydrochloride) under the brand name Avelox (in some countries also Avalox) for oral treatment.","401.175084476","Fluoroquinolones","QUINOLONE ANTIBACTERIALS","ANTIBACTERIALS FOR SYSTEMIC USE","ANTIINFECTIVES FOR SYSTEMIC USE","For the treatment of sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. Also for the treatment of bacterial conjunctivitis (pinkeye).","Moxifloxacin is a quinolone/fluoroquinolone antibiotic. Moxifloxacin can be used to treat infections caused by the following bacteria: Aerobic Gram-positive microorganisms: _Corynebacterium_ species, _Micrococcus luteus_, _Staphylococcus aureus_, _Staphylococcus epidermidis_, _Staphylococcus haemolyticus_, _Staphylococcus hominis_, _Staphylococcus warneri_, _Streptococcus pneumoniae_, and _Streptococcus viridans_ group. Aerobic Gram-negative microorganisms: _Acinetobacter lwoffii_, _Haemophilus influenzae_, and _Haemophilus parainfluenzae_. Other microorganisms: _Chlamydia trachomatis_. Moxifloxacin is bactericidal and its mode of action depends on blocking of bacterial DNA replication by binding itself to an enzyme called DNA gyrase, which allows the untwisting required to replicate one DNA double helix into two. Notably the drug has 100 times higher affinity for bacterial DNA gyrase than for mammalian. Moxifloxacin is a broad-spectrum antibiotic that is active against both Gram-positive and Gram-negative bacteria.","The bactericidal action of moxifloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV. DNA gyrase is an essential enzyme that is involved in the replication, transcription and repair of bacterial DNA. Topoisomerase IV is an enzyme known to play a key role in the partitioning of the chromosomal DNA during bacterial cell division.","Symptoms of overdose include CNS and gastrointestinal effects such as decreased activity, somnolence, tremor, convulsions, vomiting, and diarrhea. The minimal lethal intravenous dose in mice and rats is 100 mg/kg.","Approximately 52% or oral or intravenous dose is metabolized via glucuronide and sulphate conjugation. The cytochrome P450 system is not involved in metabolism. The sulphate conjugate accounts for 38% of the dose, and the glucuronide conjugate accounts for 14% of the dose.","Well absorbed from the gastrointestinal tract. Absolute oral bioavailability is approximately 90%. Food has little effect on absorption.","11.5-15.6 hours (single dose, oral)","50% bound to serum proteins, independent of drug concentration.","Approximately 45% of an oral or intravenous dose of moxifloxacin is excreted as unchanged drug (~20% in urine and ~25% in feces).","* 1.7 to 2.7 L/kg"
"DB00278","Argatroban","Argatroban is a direct, selective thrombin inhibitor. The American College of Cardiologists (ACC) recommend using bivalirudin or argatroban in patients who have had, or at risk for, heparin induced thrombocytopenia (HIT) and are undergoing percutaneous coronary intervention. Argatroban is a non-heparin anticoagulant shown to both normalize platelet count in patients with HIT and prevent the formation of thrombi. Parental anticoagulants must be stopped and a baseline activated partial thromboplastin time must be obtained prior to administering argatroban.","508.246789457","Direct thrombin inhibitors","ANTITHROMBOTIC AGENTS","ANTITHROMBOTIC AGENTS","BLOOD AND BLOOD FORMING ORGANS","Argatroban is indicated for prevention and treatment of thrombosis caused by heparin-induced thrombocytopenia (HIT). It is also indicated for use in patients with, or at risk for, HIT who are undergoing percutaneous coronary intervention.","Argatroban is a synthetic direct thrombin inhibitor derived from L-arginine indicated as an anticoagulant for prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia. Argatroban is a direct thrombin inhibitor that reversibly binds to the thrombin active site. Argatroban does not require the co-factor antithrombin III for antithrombotic activity. Argatroban exerts its anticoagulant effects by inhibiting thrombin-catalyzed or -induced reactions, including fibrin formation; activation of coagulation factors V, VIII, and XIII; protein C; and platelet aggregation. Argatroban is highly selective for thrombin with an inhibitory constant (K<sub>i</sub>) of 0.04 &micro;M. At therapeutic concentrations, Argatroban has little or no effect on related serine proteases (trypsin, factor Xa, plasmin, and kallikrein).
Argatroban is capable of inhibiting the action of both free and clot-associated thrombin.","Argatroban exerts its anticoagulant effects by inhibiting thrombin-catalyzed or -induced reactions, including fibrin formation; activation of coagulation factors V, VIII, and XIII; protein C; and platelet aggregation.","Excessive bleeding","Liver via hydroxylation and aromatization of the 3-methyltetrahydroquinoline ring. Age and gender do not substantially affect the pharmacodynamic or pharmacokinetic profile of argatroban.","Bioavailability is 100% (intravenous).","39 and 51 minutes","54%","Argatroban is excreted primarily in the feces (65%), presumably through biliary secretion; 22% is eliminated via urine.","* 174 mL/kg
* 12.18 L [70-kg adult]"
"DB00337","Pimecrolimus","Pimecrolimus is an immunomodulating agent that was first marketed by Novartis under the trade name Elidel. It is now promoted in Canada by Galderma since early 2007. It is currently available as a topic cream used in the treatment of atopic dermatitis (eczema).","809.4480897","Agents for dermatitis, excluding corticosteroids","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","DERMATOLOGICALS","For treatment of mild to moderate atopic dermatitis.","Pimecrolimus is a chemical that is used to treat atopic dermatitis (eczema). Atopic dermatitis is a skin condition characterized by redness, itching, scaling and inflammation of the skin. The cause of atopic dermatitis is not known; however, scientists believe that it may be due to activation of the immune system by various environmental or emotional triggers. Scientists do not know exactly how pimecrolimus reduces the manifestations of atopic dermatitis, but pimecrolimus reduces the action of T-cells and mast cells which are part of the immune system and contribute to responses of the immune system. Pimecrolimus prevents the activation of T-cells by blocking the effects of chemicals (cytokines) released by the body that stimulate T-cells. Pimecrolimus also reduces the ability of mast cells to release chemicals that promote inflammation.","Pimecrolimus binds with high affinity to macrophilin-12 (FKBP-12) and inhibits the calcium-dependent phosphatase, calcineurin. As a consequence, it inhibits T cell activation by blocking the transcription of early cytokines. In particular, pimecrolimus inhibits at nanomolar concentrations Interleukin-2 and interferon gamma (Th1-type) and Interleukin-4 and Interleukin-10 (Th2-type) cytokine synthesis in human T cells. Also, pimecrolimus prevents the release of inflammatory cytokines and mediators from mast cells in vitro after stimulation by antigen/lgE.","Side effects include burning sensation, irritation, pruritus, erythema, and skin infections, at the application site.","No drug metabolism was observed in human skin in vitro. Oral administration yielded metabolites produced from O-demethylation and oxygenation reactions. ","Because of the low systemic absorption of pimecrolimus following topical application the calculation of standard pharmacokinetic measures such as AUC, C<sub>max</sub>, half-life, etc. cannot be reliably done.","","74%-87% (in vitro, bound to plasma proteins)","80% of the drug is excreted in the feces.",""
"DB00376","Trihexyphenidyl","Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843]

Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]","301.240564619","Tertiary amines","ANTICHOLINERGIC AGENTS","ANTI-PARKINSON DRUGS","NERVOUS SYSTEM","Tihexyphenidyl is indicated as an adjunct in the treatment of parkinsonism, an adjuvant in the treatment of parkinsonism with levodopa, and in the control of extrapyramidal disorders caused by central nervous system drugs.[L31773,L31778]","Trihexyphenidyl is an antimuscarinic indicated as an adjunct in the treatment of parkinsonism or as a treatment for drug-induced extrapyramidal symptoms.[L31773,L31778] It has a long duration of action as it does not need to be given every day.[L31793] It has a wide therapeutic window, with acute toxicity being non fatal in doses as high as 300 mg.[L31793] Patients should have their iridocorneal angle examined before and intraocular pressure monitored during therapy.[L31793] Patients should be counselled regarding the risk of anhidrosis and hyperthermia.[L31793]","Trihexyphenidyl is a non-selective muscarinic acetylcholine receptor antagonist but binds with higher affinity to the M1 subtype.[A4716] In vivo studies have shown that trihexyphenidyl demonstrates higher affinity for central muscarinic receptors located in the cerebral cortex and lower affinity for those located peripherally.[A4716,A222363] Other studies suggest that trihexyphenidyl may modify nicotinic acetylcholine receptor neurotransmission, leading indirectly to enhanced dopamine release in the striatum.[A222373] Although the anticholinergic has proven to be useful in the treatment of symptoms associated with Parkinson’s disease or other movement disorders, its mechanism of action has yet to be fully elucidated.[A222368,A222358]","Symptoms of overdose include mydriasis, dryness of mucous membranes, red face, atonic states of bowels and bladder, and hyperthermia in high doses. Trihexyphenidyl causes agitation, confusion, and hallucinations due to its effects on the central nervous system. Untreated overdose may result in death, especially in children. Respiratory depression and cardiac arrest may be seen as premortal signs.

Patients experiencing an overdose of trihexyphenidyl may experience dry mouth, anhidrosis, mydriasis, nausea, vomiting, tachycardia, hyperpyrexia, reduced gastrointestinal motility, urinary hesitancy or retention, rash, hyperthermia, confusion, restlessness, agitation, poor coordination, paranoia, psychosis, delirium, hallucinations, coma, respiratory failure, circulatory failure, and death.[A222358] Patients should be treated with symptomatic and supportive care which may include airway maintenance and the use of [physostigmine].[A222358]","Data regarding the metabolism of trihexyphenidyl are not readily available.[A222358] However, it is likely not heavily metabolized.[A222358]","Trihexyphenidyl is absorbed from the gastrointestinal tract. Trihexyphenidyl reaches a C<sub>max</sub> of 7.2 ng/mL, with a  T<sub>max</sub> of 1.3 hours, and an AUC of 201 ng\*h/mL.[A229078,A229088]","The mean elimination half life of trihexyphenidyl is 3.2 ± 0.3 hours.[A229078]","Data regarding the extent of trihexyphenidyl protein binding in plasma are not readily available. Trihexyphenidyl is 36.13-41.92% bound to albumin under controlled conditions in a dialysis bag.[A229068] ","Data regarding the route of elimination of trihexyphenidyl are not readily available.[A222358] However, it is likely eliminated predominantly in the urine.[A222358]",""
"DB00388","Phenylephrine","Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]","167.094628665","Sympathomimetics excl. antiglaucoma preparations","MYDRIATICS AND CYCLOPLEGICS","OPHTHALMOLOGICALS","SENSORY ORGANS","Phenylephrine injections are indicated to treat hypotension caused by shock or anesthesia,[L9416, L9410] an ophthalmic formulation is indicated to dilate pupils[L9413] and induce vasoconstriction, an intranasal formulation is used to treat congestion, and a topical formulation is used to treat hemorrhoids.[A187370] Off-label uses include situations that require local blood flow restriction such as the treatment of priapism.[A187370]","Phenylephrine is an alpha-1 adrenergic agonist that raises blood pressure,[L9416,L9410] dilates the pupils,[L9413] and causes local vasoconstriction.[A187370] Ophthalmic formulations of phenylephrine act for 3-8 hours[L9413] while intravenous solutions have an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416] Patients taking ophthalmic formulations of phenylephrine should be counselled about the risk of arrhythmia, hypertension, and rebound miosis.[L9413] Patients taking an intravenous formulation should be counselled regarding the risk of bradycardia, allergic reactions, extravasation causing necrosis or tissue sloughing, and the concomitant use of oxytocic drugs.[L9416,L9410]","Phenylephrine is an alpha-1 adrenergic agonist that mediates vasoconstriction[A187370] and mydriasis[L9413] depending on the route and location of administration. Systemic exposure to phenylephrine also leads to agonism of alpha-1 adrenergic receptors, raising systolic and diastolic pressure as well as peripheral vascular resistance.[L9416,L9410] Increased blood pressure stimulates the vagus nerve, causing reflex bradycardia.[L9416,L9410]","Patients experiencing and overdose may present with headache, hypertension, reflex bradycardia, tingling limbs, cardiac arrhythmias, and a feeling of fullness in the head.[L9416,L9413,L9410] Overdose may be treated by supportive care and discontinuing phenylephrine, chronotropic medications, and vasodilators.[A187370] Subcutaneous phentolamine may be used to treat tissue extravasation.[A187370,L9413]","Phenylephrine is mainly metabolized by monoamine oxidase A, monoamine oxidase B, and SULT1A3.[A187382,A187385,L9416,L9410] The major metabolite is the inactive meta-hydroxymandelic acid, followed by sulfate conjugates.[A187385,L9416,L9410] Phenylephrine can also be metabolized to phenylephrine glucuronide.[A187385]","Phenylephrine is 38% orally bioavailable.[A187379] Clinically significant systemic absorption of ophthalmic formulations is possible, especially at higher strengths and when the cornea is damaged.[L9416]","Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416,L9410]","Data regarding the protein binding of phenylephrine in serum is not readily available.[L9416,L9413,L9410]","86% of a dose of phenylephrine is recovered in the urine[A187379] with 16% as the unmetabolized drug, 57% as the inactive meta-hydroxymendelic acid, and 8% as inactive sulfate conjugates.[L9416,L9410]","The volume of distribution of phenylephrine is 340L.[L9416,L9410]"
"DB00388","Phenylephrine","Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]","167.094628665","Sympathomimetics, combinations excl. corticosteroids","DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE","NASAL PREPARATIONS","RESPIRATORY SYSTEM","Phenylephrine injections are indicated to treat hypotension caused by shock or anesthesia,[L9416, L9410] an ophthalmic formulation is indicated to dilate pupils[L9413] and induce vasoconstriction, an intranasal formulation is used to treat congestion, and a topical formulation is used to treat hemorrhoids.[A187370] Off-label uses include situations that require local blood flow restriction such as the treatment of priapism.[A187370]","Phenylephrine is an alpha-1 adrenergic agonist that raises blood pressure,[L9416,L9410] dilates the pupils,[L9413] and causes local vasoconstriction.[A187370] Ophthalmic formulations of phenylephrine act for 3-8 hours[L9413] while intravenous solutions have an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416] Patients taking ophthalmic formulations of phenylephrine should be counselled about the risk of arrhythmia, hypertension, and rebound miosis.[L9413] Patients taking an intravenous formulation should be counselled regarding the risk of bradycardia, allergic reactions, extravasation causing necrosis or tissue sloughing, and the concomitant use of oxytocic drugs.[L9416,L9410]","Phenylephrine is an alpha-1 adrenergic agonist that mediates vasoconstriction[A187370] and mydriasis[L9413] depending on the route and location of administration. Systemic exposure to phenylephrine also leads to agonism of alpha-1 adrenergic receptors, raising systolic and diastolic pressure as well as peripheral vascular resistance.[L9416,L9410] Increased blood pressure stimulates the vagus nerve, causing reflex bradycardia.[L9416,L9410]","Patients experiencing and overdose may present with headache, hypertension, reflex bradycardia, tingling limbs, cardiac arrhythmias, and a feeling of fullness in the head.[L9416,L9413,L9410] Overdose may be treated by supportive care and discontinuing phenylephrine, chronotropic medications, and vasodilators.[A187370] Subcutaneous phentolamine may be used to treat tissue extravasation.[A187370,L9413]","Phenylephrine is mainly metabolized by monoamine oxidase A, monoamine oxidase B, and SULT1A3.[A187382,A187385,L9416,L9410] The major metabolite is the inactive meta-hydroxymandelic acid, followed by sulfate conjugates.[A187385,L9416,L9410] Phenylephrine can also be metabolized to phenylephrine glucuronide.[A187385]","Phenylephrine is 38% orally bioavailable.[A187379] Clinically significant systemic absorption of ophthalmic formulations is possible, especially at higher strengths and when the cornea is damaged.[L9416]","Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416,L9410]","Data regarding the protein binding of phenylephrine in serum is not readily available.[L9416,L9413,L9410]","86% of a dose of phenylephrine is recovered in the urine[A187379] with 16% as the unmetabolized drug, 57% as the inactive meta-hydroxymendelic acid, and 8% as inactive sulfate conjugates.[L9416,L9410]","The volume of distribution of phenylephrine is 340L.[L9416,L9410]"
"DB00388","Phenylephrine","Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]","167.094628665","Adrenergic and dopaminergic agents","CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES","CARDIAC THERAPY","CARDIOVASCULAR SYSTEM","Phenylephrine injections are indicated to treat hypotension caused by shock or anesthesia,[L9416, L9410] an ophthalmic formulation is indicated to dilate pupils[L9413] and induce vasoconstriction, an intranasal formulation is used to treat congestion, and a topical formulation is used to treat hemorrhoids.[A187370] Off-label uses include situations that require local blood flow restriction such as the treatment of priapism.[A187370]","Phenylephrine is an alpha-1 adrenergic agonist that raises blood pressure,[L9416,L9410] dilates the pupils,[L9413] and causes local vasoconstriction.[A187370] Ophthalmic formulations of phenylephrine act for 3-8 hours[L9413] while intravenous solutions have an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416] Patients taking ophthalmic formulations of phenylephrine should be counselled about the risk of arrhythmia, hypertension, and rebound miosis.[L9413] Patients taking an intravenous formulation should be counselled regarding the risk of bradycardia, allergic reactions, extravasation causing necrosis or tissue sloughing, and the concomitant use of oxytocic drugs.[L9416,L9410]","Phenylephrine is an alpha-1 adrenergic agonist that mediates vasoconstriction[A187370] and mydriasis[L9413] depending on the route and location of administration. Systemic exposure to phenylephrine also leads to agonism of alpha-1 adrenergic receptors, raising systolic and diastolic pressure as well as peripheral vascular resistance.[L9416,L9410] Increased blood pressure stimulates the vagus nerve, causing reflex bradycardia.[L9416,L9410]","Patients experiencing and overdose may present with headache, hypertension, reflex bradycardia, tingling limbs, cardiac arrhythmias, and a feeling of fullness in the head.[L9416,L9413,L9410] Overdose may be treated by supportive care and discontinuing phenylephrine, chronotropic medications, and vasodilators.[A187370] Subcutaneous phentolamine may be used to treat tissue extravasation.[A187370,L9413]","Phenylephrine is mainly metabolized by monoamine oxidase A, monoamine oxidase B, and SULT1A3.[A187382,A187385,L9416,L9410] The major metabolite is the inactive meta-hydroxymandelic acid, followed by sulfate conjugates.[A187385,L9416,L9410] Phenylephrine can also be metabolized to phenylephrine glucuronide.[A187385]","Phenylephrine is 38% orally bioavailable.[A187379] Clinically significant systemic absorption of ophthalmic formulations is possible, especially at higher strengths and when the cornea is damaged.[L9416]","Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416,L9410]","Data regarding the protein binding of phenylephrine in serum is not readily available.[L9416,L9413,L9410]","86% of a dose of phenylephrine is recovered in the urine[A187379] with 16% as the unmetabolized drug, 57% as the inactive meta-hydroxymendelic acid, and 8% as inactive sulfate conjugates.[L9416,L9410]","The volume of distribution of phenylephrine is 340L.[L9416,L9410]"
